Date, Time, Count
08/06/2021,20,377
08/06/2021,NA,79
08/06/2021,30,677
09/06/2021,0,0
10/06/2021,0,0
11/06/2021,11,273
11/06/2021,15,319
12/06/2021,0,0
13/06/2021,0,0
14/06/2021,0,0
15/06/2021,20,502
15/06/2021,NA,216
15/06/2021,10,223
16/06/2021,15,33
17/06/2021,0,0
18/06/2021,0,0
19/06/2021,0,0
20/06/2021,0,0
21/06/2021,NA,46
21/06/2021,20,684
21/06/2021,25,652
21/06/2021,30,830
22/06/2021,0,0
23/06/2021,15,439
23/06/2021,20,480
23/06/2021,20,496
23/06/2021,5,116
24/06/2021,0,0
25/06/2021,15,431
25/06/2021,20,566
25/06/2021,25,688
25/06/2021,15,507
25/06/2021,15,249
26/06/2021,0,0
27/06/2021,25,666
27/06/2021,25,515
27/06/2021,25,542
28/06/2021,0,0
29/06/2021,40,999
30/06/2021,10,153
01/07/2021,23,320
01/07/2021,40,932
01/07/2021,15,412
01/07/2021,NA,21
02/07/2021,0,0
03/07/2021,15,444
03/07/2021,20,551
03/07/2021,25,659
03/07/2021,25,659
03/07/2021,25,669
03/07/2021,10,268
03/07/2021,NA,117
04/07/2021,0,0
05/07/2021,5,302
06/07/2021,0,0
07/07/2021,20,496
07/07/2021,20,516
07/07/2021,3,71
08/07/2021,NA,183
08/07/2021,20,445
08/07/2021,20,543
08/07/2021,20,558
09/07/2021,30,779
09/07/2021,45,1034
10/07/2021,0,0
11/07/2021,32,830
11/07/2021,14,397
12/07/2021,0,0
13/07/2021,32,710
13/07/2021,25,700
13/07/2021,25,539
14/07/2021,0,0
15/07/2021,10,298
15/07/2021,20,587
15/07/2021,10,324
15/07/2021,25,688
15/07/2021,20,571
15/07/2021,10,264
16/07/2021,NA,206
16/07/2021,30,626
17/07/2021,30,264
17/07/2021,10,127
18/07/2021,13,175
18/07/2021,20,232
18/07/2021,35,485
19/07/2021,0,0
20/07/2021,0,0
21/07/2021,0,0
22/07/2021,22,361
23/07/2021,NA,63
24/07/2021,10,209
25/07/2021,3,45
25/07/2021,10,146
25/07/2021,30,597
25/07/2021,20,329
25/07/2021,12,172
25/07/2021,27,312
25/07/2021,23,231
25/07/2021,10,119
25/07/2021,10,95
26/07/2021,46,1044
26/07/2021,29,818
26/07/2021,42,1110
27/07/2021,25,525
27/07/2021,19,428
27/07/2021,50,1227
28/07/2021,19,505
28/07/2021,20,361
28/07/2021,20,498
28/07/2021,25,439
28/07/2021,NA,885
28/07/2021,58,725
28/07/2021,16,306
28/07/2021,13,411
28/07/2021,40,798
29/07/2021,5,87
29/07/2021,18,396
29/07/2021,10,167
29/07/2021,15,288
29/07/2021,25,515
29/07/2021,11,235
29/07/2021,25,497
29/07/2021,10,54
30/07/2021,10,196
30/07/2021,75,1096
30/07/2021,36,753
31/07/2021,NA,105
01/08/2021,50,655
01/08/2021,11,299
01/08/2021,23,280
01/08/2021,23,182
01/08/2021,10,119
01/08/2021,13,202
02/08/2021,22,318
02/08/2021,34,576
02/08/2021,22,126
03/08/2021,0,0
04/08/2021,10,260
04/08/2021,8,181
05/08/2021,0,0
06/08/2021,0,0
07/08/2021,0,0
08/08/2021,0,0
09/08/2021,10,298
10/08/2021,22,544
